demand,dz,output
0.000000,0.262996,-6.574904
0.000000,0.259287,-6.482181
0.000000,0.244852,-6.121294
0.000000,0.219878,-5.496945
0.000000,0.184554,-4.613848
0.000000,0.139067,-3.476686
0.000000,0.101062,-2.526550
0.000000,0.073249,-1.831232
0.000000,0.053014,-1.325341
0.000000,0.038352,-0.958798
0.000000,0.027762,-0.694059
0.000000,0.020131,-0.503278
0.000000,0.014640,-0.365995
0.000000,0.010694,-0.267358
0.000000,0.007861,-0.196520
0.000000,0.005827,-0.145682
0.000000,0.004369,-0.109221
0.000000,0.003323,-0.083063
0.000000,0.002574,-0.064343
0.000000,0.002035,-0.050885
0.000000,0.001651,-0.041269
0.000000,0.001374,-0.034354
0.000000,0.001177,-0.029418
0.000000,0.001125,-0.028126
0.000000,0.000991,-0.024785
0.000000,0.000672,-0.016810
0.000000,-0.000013,0.000314
0.000000,-0.001192,0.029790
0.000000,-0.002870,0.071746
0.000000,-0.004920,0.123004
0.000000,-0.007117,0.177929
0.000000,-0.009196,0.229909
0.000000,-0.010905,0.272622
0.000000,-0.012053,0.301331
0.000000,-0.012536,0.313388
0.000000,-0.012341,0.308534
0.000000,-0.011544,0.288593
0.000000,-0.010278,0.256952
0.000000,-0.008713,0.217837
0.000000,-0.007028,0.175694
0.000000,-0.005297,0.132435
0.000000,-0.003668,0.091689
0.000000,-0.002488,0.062200
0.000000,-0.002214,0.055355
0.000000,-0.003134,0.078359
0.000000,-0.005257,0.131421
0.000000,-0.008323,0.208066
0.000000,-0.011887,0.297163
0.000000,-0.015825,0.395634
0.000000,-0.019798,0.494955
0.000000,-0.024411,0.610269
0.000000,-0.029378,0.734438
0.000000,-0.034192,0.854791
0.000000,-0.038266,0.956641
0.000000,-0.041067,1.026670
0.000000,-0.042219,1.055481
0.000000,-0.041579,1.039480
0.000000,-0.039233,0.980829
0.000000,-0.035475,0.886885
0.000000,-0.030623,0.765581
0.000000,-0.024682,0.617039
0.000000,-0.018441,0.461029
0.000000,-0.013043,0.326064
0.000000,-0.009431,0.235778
0.000000,-0.008082,0.202061
0.000000,-0.008963,0.224079
0.000000,-0.011631,0.290770
0.000000,-0.015388,0.384700
0.000000,-0.019446,0.486151
0.000000,-0.023075,0.576867
0.000000,-0.025703,0.642581
0.000000,-0.026985,0.674634
0.000000,-0.026816,0.670408
0.000000,-0.025306,0.632657
0.000000,-0.022730,0.568243
0.000000,-0.019455,0.486372
0.000000,-0.015876,0.396890
0.000000,-0.012352,0.308793
0.000000,-0.009167,0.229185
0.000000,-0.006514,0.162843
0.000000,-0.004481,0.112026
0.000000,-0.003074,0.076847
0.000000,-0.002224,0.055600
0.000000,-0.001824,0.045611
0.000000,-0.001741,0.043516
0.000000,-0.001843,0.046065
0.000000,-0.002013,0.050327
0.000000,-0.002162,0.054040
0.000000,-0.002229,0.055717
0.000000,-0.002149,0.053714
0.000000,-0.002124,0.053108
0.000000,-0.002357,0.058930
0.000000,-0.003017,0.075413
0.000000,-0.004193,0.104821
0.000000,-0.005845,0.146124
0.000000,-0.007807,0.195173
0.000000,-0.009831,0.245776
0.000000,-0.011647,0.291186
0.000000,-0.013020,0.325498
0.000000,-0.013781,0.344528
0.000000,-0.013861,0.346524
0.000000,-0.013279,0.331968
0.000000,-0.012139,0.303463
0.000000,-0.010594,0.264844
0.000000,-0.008825,0.220615
0.000000,-0.007010,0.175240
0.000000,-0.005299,0.132468
0.000000,-0.003807,0.095170
0.000000,-0.002599,0.064983
0.000000,-0.001702,0.042550
0.000000,-0.001098,0.027462
0.000000,-0.000749,0.018731
0.000000,-0.000594,0.014843
0.000000,-0.000509,0.012736
0.000000,-0.000832,0.020804
0.000000,-0.001707,0.042666
0.000000,-0.003230,0.080746
0.000000,-0.005369,0.134215
0.000000,-0.007950,0.198747
0.000000,-0.010685,0.267127
0.000000,-0.013241,0.331035
0.000000,-0.015307,0.382671
0.000000,-0.016642,0.416042
0.000000,-0.017120,0.427993
0.000000,-0.016731,0.418279
0.000000,-0.015576,0.389403
0.000000,-0.013830,0.345754
0.000000,-0.011717,0.292932
0.000000,-0.009465,0.236615
0.000000,-0.007280,0.181991
0.000000,-0.005321,0.133029
0.000000,-0.003698,0.092445
0.000000,-0.002456,0.061398
0.000000,-0.001594,0.039861
0.000000,-0.001071,0.026764
0.000000,-0.000819,0.020466
0.000000,-0.000756,0.018906
0.000000,-0.000807,0.020175
0.000000,-0.000899,0.022480
0.000000,-0.000980,0.024494
0.000000,-0.001013,0.025332
0.000000,-0.000981,0.024528
0.000000,-0.000884,0.022107
0.000000,-0.000730,0.018254
0.000000,-0.000537,0.013434
0.000000,-0.000327,0.008184
0.000000,-0.000119,0.002969
0.000000,0.000072,-0.001804
0.000000,0.000233,-0.005832
0.000000,0.000358,-0.008952
0.000000,0.000447,-0.011176
0.000000,0.000502,-0.012550
0.000000,0.000529,-0.013236
0.000000,0.000537,-0.013434
0.000000,0.000533,-0.013330
0.000000,0.000523,-0.013085
0.000000,0.000515,-0.012876
0.000000,0.000510,-0.012747
0.000000,0.000512,-0.012794
0.000000,0.000520,-0.012992
0.000000,0.000535,-0.013365
0.000000,0.000552,-0.013807
0.000000,0.000573,-0.014331
